Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
French Dictionary. Essential Edition,,Collins:Collins Dictionaries,554,852,35,На складе
Spanish Dictionary. Essential Edition,,Collins:Collins Dictionaries,596,852,30,На складе
Collins Arabic Dictionary. Gem Edition,,Collins:Collins Dictionaries,596,852,30,На складе
French Dictionary,,Collins:Collins Easy Learning,924,1421,35,На складе
German Dictionary,,Collins:Collins Easy Learning,924,1421,35,На складе
Easy Learning Mandarin Chinese Dictionary,,Collins:Collins Easy Learning,1015,1562,35,Ограничено
Spanish Dictionary,,Collins:Collins Easy Learning,924,1421,35,На складе
English Dictionary. Essential edition,,Collins:Collins Dictionaries,1015,1562,35,На складе
English Dictionary,,Collins:Collins Dictionaries,682,1137,40,На складе
English Thesaurus. Essential Edition,,Collins:Collins Dictionaries,1015,1562,35,На складе
English Thesaurus,,Collins:Collins Dictionaries,682,1137,40,На складе
French Pocket Dictionary,,Collins:Collins Dictionaries,895,1278,30,На складе
German Pocket Dictionary,,Collins:Collins Dictionaries,924,1421,35,На складе
Italian Pocket Dictionary,,Collins:Collins Dictionaries,995,1421,30,На складе
Spanish Pocket Dictionary,,Collins:Collins Dictionaries,895,1278,30,На складе
Welsh Pocket Dictionary,,Collins:Collins Dictionaries,831,1278,35,На складе
Primary Dictionary,,Collins:Collins Primary Dictionaries,937,1562,40,На складе
English School Dictionary,,Collins:Collins School Dictionaries,1108,1705,35,На складе
English School Thesaurus,,Collins:Collins School Dictionaries,682,1137,40,На складе
English School Dictionary and Thesaurus,,Collins:Collins School Dictionaries,995,1421,30,На складе
French School Dictionary,,Collins:Collins School Dictionaries,696,994,30,На складе
Spanish School Dictionary,,Collins:Collins Dictionaries,646,994,35,На складе
French Visual Dictionary,,Collins:Collins Dictionaries,646,994,35,На складе
Spanish Visual Dictionary,,Collins:Collins Dictionaries,646,994,35,На складе
,,,0,Нет старого прайса,Нет скидки,
"Словарь русских народных говоров: ""Почестно-Присуть"". Выпуск 31",,Наука:Словарь русских народных говоров,293,418,30,На складе
"Словарь русских народных говоров: ""Присуха-Протишь"". Выпуск 32",,Наука:Словарь русских народных говоров,293,418,30,На складе
Словарь русских народных говоров. Выпуск 33. Протка - Разлука,,Наука:Словарь русских народных говоров,293,418,30,На складе
"Словарь русских народных говоров: ""Разлуканье-Ревенька"". Выпуск 34",,Наука:Словарь русских народных говоров,293,418,30,Ограничено
"Словарь русских народных говоров: ""Реветь-Рящик"". Выпуск 35",,Наука:Словарь русских народных говоров,293,418,30,На складе
Словарь русских народных говоров. Выпуск 36. С - Святковать,,Наука:Словарь русских народных говоров,293,418,30,Ограничено
"Словарь русских народных говоров: ""Свято-Скимяга"". Выпуск 37",,Наука:Словарь русских народных говоров,293,418,30,Ограничено
"Словарь русских народных говоров. ""Сопочка - Ссуворить"". Выпуск 40",,Наука:Словарь русских народных говоров,376,537,30,Ограничено
Русско-французский словарь деловой лексики,Иванова Г.С.,Антология: ,353,452,22,На складе
Социология труда. Теоретико-прикладной толковый словарь,,Наука: ,246,448,45,На складе
Phrasal Verbs Dictionary,,Cambridge: ,3112,4788,35,На складе
Русско-эстонский разговорник,Рахно Марина Олавиевна,Виктория Плюс:Галопом по Европам,86,123,30,На складе
Краткий словарь библейских фразеологизмов,Кочедыков Лев Григорьевич,Бахрах-М: ,238,340,30,На складе
"Новый англо-русский, русско-английский словарь","Лапицкий Александр Никитич, Якимов М.В.",Союз:Словари,218,312,30,На складе
Словарь иноязычных слов. Актуальная лексика,Булыко Александр Николаевич,Попурри,233,Нет старого прайса,Нет скидки,На складе
Происхождение японского языка. Русско-японский учебный этимологический словарь,Драгункин Александр Николаевич,Андра: ,125,179,30,Ограничено
Русско-английский словарь. Около 50 000 слов,,Лист:Английский язык,435,Нет старого прайса,Нет скидки,На складе
Новейший англо-русский и русско-английский словарь 80 000 слов,,СТД,201,287,30,На складе
,,,0,Нет старого прайса,Нет скидки,
Грамматический словарь русского языка,Зализняк Андрей Анатольевич,АСТ-Пресс:Фундаментальные словари,3094,Нет старого прайса,Нет скидки,На складе
Новый англо-русский и русско-английский словарь. 350 000 слов с двусторонней транскрипцией,Мюллер Владимир Карлович,ЕВРО-ПРЕСС,426,609,30,На складе
Арабско-русский русско-арабский словарь,Азар Махмуд,АСТ:Карманная библиотека словарей: лучшее (м),243,312,22,На складе
Корейско-русский русско-корейский словарь,,АСТ:Новейший словарь,164,210,22,На складе
"Английский язык. 4-в-1. Грамматика, разговорник, англо-русский словарь, русско-английский словарь",,АСТ:4 книги в одной,349,447,22,На складе
Словарь воронежской деловой письменности XVII-XVIII вв. Том 3. Н-О,Хитрова Валентина Ивановна,Прометей,1452,2074,30,На складе
Китайско-русский русско-китайский словарь,,АСТ:Новейший словарь,164,210,22,На складе
Современный немецко-русский русско-немецкий словарь (около 180 тысяч слов),"Блинова Людмила Сергеевна, Лазарева Елена Ивановна",АСТ:Новые современные словари,421,540,22,На складе
Толковый словарь китайских идиом,,Шанс,921,1316,30,На складе
"Словарь омонимов, омоформ и омографов русского языка",Гребенева Юлия Николаевна,Мир и образование:Новые словари,1670,2385,30,На складе
Современный французско-русский русско-французский словарь. Более 150 000 слов и выражений,Раевская Ольга Владимировна,АСТ:Новые современные словари,421,540,22,На складе
Новый англо-русский русско-английский словарь для школьников 130 000 слов и словосочетаний,Мюллер Владимир Карлович,Хит-книга,279,398,30,На складе
"Толковый словарь русского языка для тех, кто учится",Алабугина Юлия Владимировна,АСТ:Новейший словарь,164,210,22,На складе
Англо-русский русско-английский словарь с двусторонней транскрипцией для школьников,,АСТ:Новейший справ. д/школьников. Средняя школа,499,640,22,На складе
Энтимологический словарь,Норман Борис Юстинович,Флинта,302,432,30,Ограничено
Новый орфографический словарь русского языка,Алабугина Юлия Владимировна,АСТ:Словари и справочники русского языка,223,286,22,На складе
,,,0,Нет старого прайса,Нет скидки,
Испанско-русский русско-испанский словарь для школьников с приложениями,Матвеев Сергей Александрович,АСТ:Новый карманный школьный словарь,449,575,22,На складе
Арабско-русский русско-арабский словарь,,АСТ:Новейший словарь,164,210,22,На складе
Школьный орфографический словарь русского языка. 5-11 классы,Баранов Михаил Трофимович,Просвещение:Словари и справочники,536,765,30,Ограничено
"Иврит. 4-в-1. Грамматика, разговорник, русско-ивритский словарь, тематический словарь","Аксенова Ясна Владимировна, Лерер Илья Изевич",АСТ:4 книги в одной,349,447,22,На складе
"Французский язык. 4-в-1. Грамматика, разговорник, французско-русский словарь, русско-французский сл.",,АСТ:4 книги в одной,349,447,22,На складе
Англо-Русский словарь с грамматическим приложением,Сидорова Ирина Вадимовна,ПринтБук:Весь школьный курс в таблицах и схемах,262,374,30,На складе
Русско-татарский словарь астрономических терминов. Толковый словарь,Тимергалин Адлер Камилович,Татарское книжное издательство,1157,1653,30,На складе
"Немецкий язык. 4-в-1. Грамматика, разговорник, немецко-русский словарь, русско-немецкий словарь",,АСТ:4 книги в одной,349,447,22,На складе
Орфоэпический словарь русского языка,Горбаневич Кирилл Сергеевич,АСТ:Словарь школьный новый,400,513,22,На складе
Архангельский областной словарь. Выпуск 22. Зга-зяять,,Наука,1263,1804,30,Ограничено
Современный англо-русский русско-английский словарь. Более 130 000 слов и выражений,Мюллер Владимир Карлович,АСТ:Новые современные словари,449,575,22,На складе
Орфографический словарь русского языка для школьников,Алабугина Юлия Владимировна,АСТ:Новые карманные словари,170,218,22,На складе
Англо-русский толковый словарь по искусственному интеллекту и робототехнике,"Пройдаков Эдуард Михайлович, Теплицкий Леонид Абрамович",Эксмо:Бизнес. Как это работает в России,1303,1670,22,На складе
Словарь воронежской деловой письменности XVII-XVIII вв. Том 2 (З-М),Хитрова Валентина Ивановна,Прометей,1633,2333,30,На складе
Большой толковый словарь правильной русской речи. Более 8 000 слов и выражений,Скворцов Лев Иванович,Мир и образование:Новые словари,2608,3726,30,На складе
Англо-русский словарь финансиста-международника. Учебно-практическое пособие,Звонова Елена Анатольевна и др.,Кнорус:Бакалавриат,1234,1763,30,На складе
Морфемный словарь наречий русского языка,Гребенева Юлия Николаевна,Мир и образование:Новые словари,1774,2534,30,На складе
Толковый японско-русский словарь ономатопоэтических слов,"Румак Наталья Григорьевна, Зотова Ольга Павловна",АСТ:Карманная библиотека словарей: лучшее (м),265,340,22,На складе
Толковый японско-русский словарь ономатопоэтических слов,"Румак Наталья Григорьевна, Зотова Ольга Павловна",АСТ:Карманная библиотека словарей: лучшее,339,435,22,На складе
Цифровой мир. Терминологический словарь-справочник в определениях официальных документов,Бегишев Ильдар Рустамович и др.,Проспект,1394,1991,30,Ограничено
Орфоэпический словарь русского языка,,Виктория Плюс:Словари,334,477,30,На складе
Фразеологический словарь русского языка,,Виктория Плюс:Словари,510,729,30,На складе
Инфраструктура железных дорог. Русско-английский словарь,"Космин Александр Владимирович, Космин Владимир Витальевич",Инфра-Инженерия,1474,2106,30,На складе
Фразеологический словарь русского языка для школьников,Субботина Людмила Анатольевна,АСТ:Словарь школьный новый,349,447,22,На складе
Русско-французский словарь,"Вишнякова Надежда Юрьевна, Зусман Софья Александровна",Т8:Полезные конспекты,1218,1562,22,На складе
Словарь собственных имен русского языка,Агеенко Флоренция Леонидовна,Мир и образование:Новые словари,2035,2907,30,На складе
Большой толковый идеографический словарь синонимико-антонимических комплексов,Бабенко Людмила Григорьевна и др.,Кабинетный ученый,1441,2058,30,На складе
Испанский язык. Все словари в одной книге. 5 в 1. Испанско-русский словарь с произношением,Матвеев Сергей Александрович,АСТ:5 словарей в одном,421,540,22,На складе
Испанский язык. Все словари в одной книге. Испанско-русский словарь с произношением,Матвеев Сергей Александрович,АСТ:Все словари в одной книге,421,540,22,На складе
Англо-русский тематический словарь. Учебное пособие,Полоса Светлана Владимировна,ГЭОТАР-Медиа,778,1112,30,Ограничено
Латинско-русский словарь,Тананушко Кирилл Алексеевич,Харвест,507,724,30,На складе
Турецко-русский русско-турецкий словарь,,АСТ:Карманная библиотека словарей: лучшее (м),254,326,22,На складе
Турецко-русский русско-турецкий словарь,,АСТ:Карманная библиотека словарей: лучшее,339,435,22,На складе
Англо-русский тематический словарь. Учебно-практическое пособие для вузов,Шматкова Лаура,Лань:Иностранные языки,1770,2528,30,Ограничено
Англо-русский тематический словарь. Учебно-практическое пособие для СПО,Шматкова Лаура,Лань:Иностранные языки,1837,2624,30,На складе
Итальянско-русский русско-итальянский словарь с произношением,Матвеев Сергей Александрович,АСТ:Словарь школьный новый,349,447,22,На складе
Итальянско-русский русско-итальянский словарь,Зорько Герман Федорович,АСТ:Карманная библиотека словарей: лучшее (м),254,326,22,На складе
Итальянско-русский русско-итальянский словарь,Зорько Герман Федорович,АСТ:Карманная библиотека словарей: лучшее,319,409,22,На складе
"Немецко-русский, русско-немецкий словарь",,Вако:Школьный словарик,179,256,30,На складе
Русский этимологический словарь. Выпуск 15 (друг I - еренга),Аникин Александр Евгеньевич,Нестор-История,785,1122,30,На складе
"Толковый словарь русского языка. Около 100 000 слов, терминов и фразеологических выражений",Ожегов Сергей Иванович,Мир и образование,856,1223,30,На складе
Словарь паронимов русского языка,"Снетова Галина Петровна, Власова Ольга Борисовна",Мир и образование:Новые словари,1409,2013,30,На складе
Словарь воронежской деловой письменности XVII-XVIII вв. Том 1 (А-Ж),Хитрова Валентина Ивановна,Прометей,1633,2333,30,На складе
Современный англо-русский русско-английский словарь. 120 тыс. слов с двусторонней транскрипцией,Strong A.,Хит-книга,338,483,30,На складе
Из истории русских слов,,Нестор-История,493,897,45,На складе
Современный англо-русский и  русско-английский словарь. 165 000 слов и словосочетаний,Мюллер Владимир Карлович,Хит-книга,368,525,30,На складе
,,,0,Нет старого прайса,Нет скидки,
Англо-русский универсальный транспортный словарь,,Инфра-Инженерия,1930,2757,30,На складе
Мой первый орфографический словарь русского языка,Тихонова Мария Александровна,АСТ:Учимся легко в школе и дома,548,703,22,На складе
Словарь-тезаурус синонимов русского языка,Бабенко Людмила Григорьевна и др.,АСТ-Пресс:Настольные словари русского языка,1731,Нет старого прайса,Нет скидки,На складе
Английский разговорник на пружине,,АСТ:Все правила на ладони,243,312,22,Ограничено
Толковый словарь антонимов русского языка,Львов Михаил Ростиславович,АСТ-Пресс:Настольные словари русского языка,2160,Нет старого прайса,Нет скидки,На складе
Англо-русский тематический словарь безэквивалентной лексики,"Манохина Анна Александровна, Стернина Марина Абрамовна",Флинта,756,1080,30,На складе
Словарь устаревшей лексики к произведениям русской классики,"Баско Нина Васильевна, Андреева Ирина Викторовна",АСТ-Пресс:Настольные словари русского языка,1664,Нет старого прайса,Нет скидки,На складе
Словарь ударений русского языка,Резниченко Ирина Леонидовна,АСТ-Пресс:Настольные словари русского языка,2028,Нет старого прайса,Нет скидки,На складе
Самый полный англо-русский русско-английский словарь,Мюллер Владимир Карлович,АСТ:Большие уникальные словари,714,916,22,На складе
Самый полный орфографический словарь русского языка,"Алабугина Юлия Владимировна, Алексеев Филипп Сергеевич",АСТ:Большие уникальные словари,645,827,22,На складе
Большой англо-русский русско-английский словарь 145 000 слов и словосочетаний с практ. транскрипцией,Мюллер Владимир Карлович,Хит-книга,358,511,30,На складе
Dictionnaire des expressions idiomatiques franaises,Когут Владимир,Антология,640,820,22,На складе
Русский этимологический словарь. Выпуск 14 (дигнитарь-дрощи),Аникин Александр Евгеньевич,Нестор-История,785,1122,30,На складе
Идиомы и предлоги в английском языке. Словарь,Матюшенков Владимир Сергеевич,Флинта,605,864,30,На складе
,,,0,Нет старого прайса,Нет скидки,
Большой фразеологический словарь русского языка,Телия Вероника Николаевна и др.,АСТ-Пресс:Фундаментальные словари,2220,Нет старого прайса,Нет скидки,На складе
Большой орфоэпический словарь русского языка. Литературное произношение и ударение начала XXI века,Касаткин Леонид Леонидович и др.,АСТ-Пресс:Фундаментальные словари,2412,Нет старого прайса,Нет скидки,На складе
"Российский энциклопедический словарь ""Туризм""",Житенёв С. Ю. и др.,Институт Наследия,636,908,30,На складе
"Словарь-тезаурус русских пословиц, поговорок и метких выражений",Зимин Валентин Ильич,АСТ-Пресс:Настольные словари русского языка,1664,Нет старого прайса,Нет скидки,На складе
"Немецко-русский, русско-немецкий словарь",,Вако:Словари,420,600,30,На складе
"Школьный немецко-русский, русско-немецкий словарь",,Вако:Словари,211,301,30,На складе
Англо-русский визуальный словарь для начинающих с примерами,Асети Лаура,Эксмо:Мои первые английские слова,875,1122,22,На складе
Русско-английский энциклопедический словарь искусств и художественных ремесел. В 2-х томах. Том 2,Азаров Алексей Алексеевич,Флинта,907,1296,30,На складе
Испанско-русский русско-испанский словарь с произношением,Матвеев Сергей Александрович,АСТ:Словарь школьный новый,377,483,22,Ограничено
"Французско-русский, русско-французский словарь",,Вако:Словари,420,600,30,На складе
Словарь иностранных слов. Начальная школа,Шклярова Татьяна Васильевна,Вако:Школьный словарик,179,256,30,На складе
"Современный англо-русский, русско-английский словарь. 85 000 слов и словосочетаний",Мюллер Владимир Карлович,Хит-книга,239,341,30,На складе
Латинско-русский и русско-латинский словарь,,Флинта,1134,1620,30,На складе
Дружок. Орфографический и толковый словарь школьника,,Стрекоза:Дружок,455,650,30,На складе
Англо-русский словарь юридических терминов,Витлинская Татьяна Дмитриевна и др.,Проспект,424,605,30,Ограничено
Орфографический словарь русского языка. 125 000 слов с грамматическими приложениями,Федорова Татьяна Леонидовна,Стандарт,329,470,30,На складе
Словарь оксюморонов русского языка,Козинец Сергей Борисович,Флинта,340,486,30,На складе
Современный словарь иностранных слов,Крысин Леонид Петрович,АСТ-Пресс:Настольные словари русского языка,1880,Нет старого прайса,Нет скидки,На складе
Объяснительный русский орфографический словарь-справочник,Бешенкова Елена Виленовна и др.,АСТ-Пресс:Настольные словари русского языка,2160,Нет старого прайса,Нет скидки,На складе
Толковый словарь русского языка,Алабугина Юлия Владимировна,АСТ:Карманная библиотека словарей: лучшее,243,312,22,На складе
"Русско-англо-немецкий словарь пословиц, поговорок",Адамия Нодари Леонтьевич,Флинта,529,756,30,На складе
Китайско-русский и русско-китайский словарь для учащихся. 25 000 слов и словосочетаний,Горбылева А. В.,Хит-книга,219,313,30,На складе
Этимологический словарь современного русского языка. В 2-х томах,,Флинта,1814,2592,30,На складе
Словарь трудностей русского языка. Начальная школа. ФГОС,Шклярова Татьяна Васильевна,Вако:Школьный словарик,179,256,30,На складе
Фразеологический словарь. Занимательные этимологические истории для детей,"Рогалева Елена Ивановна, Никитина Татьяна Геннадьевна",Вако:Школьный словарик,179,256,30,На складе
Большой русско-французский словарь,Триомф Жан и др.,МЦНМО,1724,2463,30,На складе
Чешский разговорник,,АСТ:Лучший разговорник для путешествий,319,409,22,На складе
Чешский разговорник,,АСТ:Популярный разговорник,319,409,22,На складе
Объяснительный словарь непроверяемых орфограмм русского языка: пособие по русской орфографии,Шелякин Михаил Алексеевич,Флинта,529,756,30,На складе
"Англо-русский, русско-английский словарь",,Вако:Школьный словарик,179,256,30,На складе
Толковый словарь устойчивых словосочетаний современного русского языка,Климовская Галина Ивановна,Флинта,302,432,30,На складе
Медиакультура. Словарь терминов и понятий,Кириллова Наталья Борисовна,Флинта,378,540,30,На складе
Селигер. Материал по русской диалектологии. Словарь. Выпуск 8. Ф-Я,"Богданова-Бегларян Н. В., Петрова З. А.",Нестор-История,785,1122,30,На складе
Орфоэпический словарь русского языка. 9-11 классы. Справочное издание,Скачедубова Екатерина Сергеевна,АСТ-Пресс:Словари для основной школы (5-11 классы),915,Нет старого прайса,Нет скидки,На складе
Толковый словарь русского языка,Даль Владимир Иванович,АСТ:Ожегов,811,1040,22,На складе
Русско-чешский разговорник. Самые нужные фразы. Мини-словарь. 250 слов,Таранов Андрей Михайлович,T&P Books:Все будет хорошо!,523,670,22,На складе
Карманный польско-русский словарь,Шетэля Виктор Мечиславович,Прометей,1271,1815,30,Ограничено
Карманный русско-польский словарь,Шетэля Виктор Мечиславович,Прометей,1271,1815,30,Ограничено
"Англо-русский, русско-английский словарь",Мусихина Ольга Николаевна,Феникс:Большая перемена,233,299,22,На складе
Русско-шведский разговорник. Самые нужные фразы. Краткий словарь. 1 500 слов,Таранов Андрей Михайлович,Т8,561,719,22,На складе
Полный церковно-славянский словарь,,Омега-Л:Православный бестселлер,1206,1546,22,На складе
Учебный медицинский латинско-русский и русско-латинский словарь,Журавлева Елена Владимировна и др.,Практическая медицина,679,Нет старого прайса,Нет скидки,На складе
Французско-русский русско-французский словарь. 125 000 слов и словосочетаний с транскрипцией,,Хит-книга,348,497,30,На складе
Французско-русский русско-французский словарь с произношением,Матвеев Сергей Александрович,АСТ:Новейший словарь,164,210,22,На складе
,,,0,Нет старого прайса,Нет скидки,
Русско-китайский разговорник,Россохин Илья,Славянский Дом Книги:Словари и пособия для школьников,100,143,30,На складе
Словарь синонимов и антонимов русского языка. 40 000 слов,Федорова Татьяна Леонидовна,Стандарт:Словари карманные,171,244,30,На складе
"Французско-русский, русско-французский словарь для учащихся. 45 000 слов",Маевская Елена,Стандарт:Словари карманные,160,229,30,На складе
"Немецко-русский, русско-немецкий словарь для учащихся. 45 000 слов",,Стандарт:Словари карманные,188,268,30,На складе
"Англо-русский, русско-английский словарь с грамматическим приложением. 90 000 слов",Мюллер Владимир Карлович,Юнвес,230,329,30,На складе
"Французско-русский, русско-французский словарь с грамматическим приложением. 90 000 слов","Ларош Пьер, Маевская Елена",Юнвес:Словари карманные,202,289,30,На складе
Англо-русский словарь (свыше 90 000 слов и словосочетаний),,Виктория Плюс:Словари,603,861,30,На складе
Русско-испанский разговорник,Ястремский Леонид Степанович,Эксмо-Пресс:Слово в кармане,149,191,22,Ограничено
"Словарь русских народных говоров. "" Хас-Хоглог"". Выпус 50",,Наука:Словарь русских народных говоров,1075,1536,30,На складе
Словарь Россия. Russia. Для туристов и не только,Михеев Алексей Васильевич,АСТ-Пресс:Словари для интеллектуальных гурманов,592,Нет старого прайса,Нет скидки,На складе
"Англо-русский, русско-английский словарь",Мюллер Владимир Карлович,АСТ:Карманная библиотека словарей,201,258,22,На складе
"Современный англо-русский, русско-английский словарь. 125 000 слов и словосочетаний с транскрипцией",Мюллер Владимир Карлович,Хит-книга,338,483,30,На складе
Историко-этимологический словарь русской лексики XVIII-XIX веков. В 2-х томах. Том I,Шетэля Виктор Мечиславович,Прометей,1633,2333,30,На складе
Историко-этимологический словарь русской лексики конца XVIII-XIX века. В 2-х томах. Том 2,Шетэля Виктор Мечиславович,Прометей,1633,2333,30,На складе
Популярный англо-русский русско-английский словарь,Мюллер Владимир Карлович,АСТ:Новейший словарь,164,210,22,На складе
Словарь церковнославянского и русского языка. Том 1. А - Жучки,,Карамзин,1442,2060,30,На складе
,,,0,Нет старого прайса,Нет скидки,
Англо-русский / русско-английский словарь. Более 15 000 слов,,"Рипол-Классик:1+1, или Переверни книгу",238,305,22,На складе
Материалы к словарю метафор и сравнений русской литературы XIX-XX вв. Выпуски 4-5,"Кожевникова Наталья Алексеевна, Петрова Зоя Юрьевна",Языки славянских культур:Studia philologica,1972,2528,22,На складе
"Немецко-русский, русско-немецкий словарь с грамматическим приложением. 90 000 слов",Несслер Курт,Стандарт,221,315,30,На складе
Словарь поэтических иносказаний Пушкина,Сомов Валерий Павлович,АСТ-Пресс:Словари для интеллектуальных гурманов,749,Нет старого прайса,Нет скидки,На складе
Этимология терминов и понятий наук о жизни,,Лань:Учебники для вузов. Специальная литература,2654,3791,30,Ограничено
Русско-испанский разговорник,,АСТ:Новый карманный разговорник,147,188,22,На складе
Немецко-русский. Русско-немецкий словарь с произношением,Матвеев Сергей Александрович,АСТ,180,231,22,На складе
Селигер. Материалы по русской диалектологии. Словарь. Выпуск 7. С - У,"Петрова Зоя Алексеевна, Богданова-Бегларян Н. В.",Нестор-История,628,897,30,На складе
Корейско-русский русско-корейский словарь,,АСТ:Карманная библиотека (лучшее),339,435,22,На складе
"95 000 слов. Англо-русский, русско-английский словарь. Международная транскрипция",Стронг А.,Стандарт,230,329,30,На складе
Архангельский областной словарь. Выпуск 18. Замагнитить-Запись,,Наука,1148,1640,30,Ограничено
Корейско-русский визуальный словарь с транскрипцией,,АСТ:Визуальный словарь с произношением,909,1165,22,На складе
Экология русского языка. Словарь лингвоэкологических терминов,Сковородников Александр Петрович,Флинта,605,864,30,На складе
Большой академический словарь русского языка. Том 24. Розница - Сверяться,,Наука:Большой академический словарь русского языка,2598,3712,30,На складе
Война и мир в терминах и определениях. Военно-политический словарь. Книга 1,Рогозин Дмитрий Олегович,Вече,449,817,45,На складе
Словарь трудностей русского языка,Федорова Татьяна Леонидовна,ЛадКом:Словарная классика,116,165,30,На складе
